Open;High;Low;Close
524.95;528.25;518.85;522.35
530;530.62;523;525.62
529.16;531.87;518.92;525.79
527.85;532.94;524.71;527.69
533.48;533.59;518.45;527.17
528.85;536.85;528.85;530.41
521.74;527.83;518.26;527.29
514.61;519.69;511.3;513.48
512.86;517.78;511.68;516
509.68;519.98;508.91;513.46
492.5;510.41;492.06;508.28
483.75;491.2;481.18;490.15
479.95;482.45;479.41;481.06
479.95;481.89;478.5;480.64
482.01;484.75;480.08;480.43
480.9;484.35;479.53;482.27
479.02;479.79;475.08;476.14
477.83;480.4;470.58;476.18
465.19;472.5;464.51;470.58
464.5;467.59;463.02;464.4
470.52;471.88;467.44;470.3
462.84;464.43;460.31;463.18
454.98;464.94;452.5;460.33
450.11;454.87;448;450.02
459.15;459.76;452.42;452.69
452.56;459.99;447.65;458.83
456.06;457.26;450.44;450.98
450;457.81;450;454.62
457.7;458.37;450.92;451.39
461.5;468.25;457.73;464.07
467.97;471.59;461.02;462.02
481.01;482.51;467.25;467.97
490.44;490.87;481.55;482.15
488.53;494.7;486.03;490.52
483.68;489.87;480.5;485.59
489;491.19;486.01;486.35
483.94;494.75;482.51;492.01
497.73;498;491.5;491.74
502.35;506;498.57;503.71
502.25;505.5;501.36;505.35
505.4;505.74;496.05;500.22
505.89;508.6;503.56;508.1
492.18;507;491.05;506.32
490.5;492.46;486.76;489.83
488.99;493.28;486.94;490.41
479.65;487.36;479.14;484.85
485.95;488.88;479.33;484.99
494.94;495.25;482.67;484.35
490.58;497.5;490.17;492.63
489.09;490.75;484.88;488.97
480.77;490.59;480.01;490.06
483.23;488.98;482.48;484.81
484;485.7;475.43;477.5
461.03;482.99;460.6;481.59
461.01;469.65;457.52;466.18
469.12;470.56;459.52;459.61
491.73;494.7;482.68;494.02
489.88;493.83;486.46;491.34
482.25;492.99;480.28;489.2
472.37;479.44;471.08;475.83
471.96;473.26;462.78;467.49
453.55;457.33;449.66;456.56
438.31;451.29;435.38;450.2
444;447.67;433.63;436.07
441.62;442.28;436;436.55
445.29;448.4;433.63;439.49
454.96;457.83;444.72;444.95
463.44;464.55;451.12;454.26
472.59;477.55;469.01;472.08
477.06;477.65;470.56;472.68
479.66;482.75;473.26;475.1
486.89;486.89;478.16;482.05
489.9;496.6;485.73;486.25
499.9;500.97;484.89;488.56
502.51;503.47;498.13;500.03
503.45;505.87;496.69;500.08
496.17;504;496.11;501.27
483.08;500.4;482.18;497.99
494.48;494.5;483.19;483.19
482.5;488.71;481.62;488.5
480.37;488.5;475.84;487.01
487.22;488.88;472;474.02
487.85;488.84;477.54;484.78
499.06;500.91;483.15;485.52
499.72;509.25;496.7;498.72
495.11;508;494.7;505.6
486.68;493.87;481.46;493.37
480.43;491.06;480.12;482.37
492.74;493.45;483;485.63
484.95;492.31;481.05;490.46
482.07;489.76;475;475.47
468.15;477.45;464.01;477.07
480.73;489.79;476.8;477.16
469.06;485;464.4;472.05
485.07;485.58;473.8;475.01
496.26;499.44;487.74;494.43
510;510.97;497.07;498.37
506.78;508.36;498.35;507.97
509.77;510.99;496.25;507.53
516.5;522;510.37;510.88
512.04;512.04;502;505.39
515.67;519.88;508.22;509.05
513.97;522.82;512.6;521.65
499.97;505.32;481.33;493.14
508.75;517.52;460;498.67
500.98;515.72;500.47;509.76
526.52;526.74;504.21;506.37
526.5;532.92;525.08;530.6
531.13;537.68;525.44;525.7
533.37;536.5;526.67;532
532.1;534.83;521.03;529.19
528.95;538.33;527.23;529.06
544.97;544.99;529.21;531.64
547.25;549.32;542.27;544.99
552;552.5;543.35;547.06
556.46;560.25;552.16;554.3
554.17;559.66;551.06;555.04
548.75;553.99;545;550.1
563;568.81;549.63;550.15
592.17;597.84;588.29;595.3
590.06;592.34;584.01;589
572.53;588.88;571.13;586.77
567.35;574;566.22;572.73
567.49;568.77;564;566.22
563.32;569.85;560.05;567.49
567.3;568.75;561.86;563.54
569.46;570.89;565.4;568.22
570.9;574.88;569;571.01
571.35;573.45;565.55;568.8
565.05;569.74;562.81;567.12
562.83;567.63;560.28;566.71
563;564.72;560.57;562.45
565.27;567.39;560.02;562.69
559.02;572;558.66;562.88
545.51;559.85;539.7;557.33
557.04;558.31;542;549
556.11;566.85;554.28;557.5
566.23;568;557.28;560
564.72;568.44;562.96;566.4
568.3;571.45;564.25;565.56
561.83;568.42;560.76;565.2
566.68;569.45;556;563.18
588.14;588.28;579.16;579.54
574.26;586.21;574.2;581.14
563.76;578.5;562.21;576.45
559.85;564.66;556.5;560.19
564.78;565.18;561.01;562.48
561.35;567.67;559.9;564.21
546.5;556.13;546.2;554.59
542.36;548.12;539.25;545.32
535.48;545.66;535.01;541.06
529.2;533.29;527.74;532.69
527.42;531.75;523.48;526.8
527.12;528.49;520;526.43
533.98;538.44;530.51;531.47
543;543.63;532.29;535.07
547.35;547.5;541;542.8
540.53;544.03;539.7;540.76
537.54;545.01;536.14;543.22
542;543.4;537.61;538.21
536.87;544.13;534.3;541.3
532.97;537.15;530.5;533.12
533.32;540.49;529.5;536.4
534.07;537.79;527.69;534.45
539.54;541.53;535.07;536.44
532.5;542;531.53;533.47
528.4;533.5;522.46;531.29
537;538;525.56;526.78
528.67;542.1;528.23;540.82
534.96;534.96;527.61;531.12
534.6;535.81;530.3;533.02
538.49;540.99;525.61;529.94
544.49;547;530.6;534.29
541.27;547.65;535.31;542.1
537.97;549.6;536.29;542.42
546.59;549.88;535.51;540
564.5;570.6;534.86;550.01
583.44;586.82;572.25;582.98
585.98;585.98;575.29;580.41
581.2;590.42;576.29;587.62
593.34;593.56;578.04;580
583.9;594.2;582.81;589.85
576.49;588.38;573.9;587.09
597.65;598.16;588;590.48
604.46;604.46;594.04;601.11
592;603.25;589.11;602.02
609.4;610;592.65;594.1
625.86;625.86;606.36;608.26
627.18;627.84;621.54;623.99
626.95;629.51;624.24;626.75
624.75;625.4;619.98;619.98
618.5;622.73;618.01;622.73
624.74;624.84;618.29;619.4
621.66;625.99;618.48;622.87
612.93;619.52;612.27;618.48
603.5;612.87;602.85;611.68
601.34;601.5;598.85;601.12
597.61;599.84;595.67;598.68
596.03;598.93;595;596.42
596.44;597.64;593.76;593.94
598.6;600.37;596.64;597.76
593.3;596.38;590.99;593.14
595.35;597.31;592.61;595.73
594.68;594.75;587.73;590.51
590.44;594.71;590.41;591.5
587.5;589.33;583.58;589.02
583.5;590.66;582;587.05
584.21;588.69;581;586.25
593.02;594.83;579.18;585.01
589.04;591.45;585;585.74
591;593.01;586.22;587.51
588.13;591.22;583;589.87
580.63;583.67;577.11;583
572;582.46;570.97;579.76
586.41;587.06;582.69;585.74
582.52;584.29;576.54;583.09
576.49;586.6;575.86;582.35
569.5;571.6;569.4;569.96
573.77;574;570;572.99
576.65;578.78;572.07;576.65
574.87;577.5;573.72;577.49
575;576.99;572.78;576.28
569.29;572.51;566.61;572.05
569.56;572.9;565.5;567.85
570.48;573.5;565.86;570.56
562.73;568.78;562;566.76
555.45;562.58;554.23;562.51
547.72;551.78;545.5;551.1
543.49;549.77;542.66;548.65
540.8;545.5;536.42;540.33
530.01;537.5;528.3;537.29
537.08;539.46;528.24;533.99
550;550.17;534.24;536.12
543.01;551.83;541;551.05
547.87;550;538.25;540.3
550.97;554.56;544.16;548.29
555.75;561.64;550.89;554.21
555.25;557.89;551.2;553.69
550;555;548;554.09
549.91;559.35;549;551.1
551.64;552.95;540.7;551.72
552.69;553.6;548.73;552.09
547.33;554.75;544.53;549.85
533.75;536.9;527.27;529.91
532.46;535.58;530;535.32
524.39;527.46;521.38;526.11
523.42;525.76;519.32;524.04
516.65;521.51;514.5;516.25
519.57;523.25;513.34;514.18
499;518.99;497.81;517.54
491.7;499.37;491.7;498.74
487.65;492.43;483.34;488.52
483.74;491.74;482.6;484.58
493;496.47;487;487.2
500;500.14;487.24;495.85
499.53;499.75;493.01;498.53
494.84;501.5;493.3;498.53
494.29;499.93;492;492.48
500.47;501.41;493;496.77
500.78;507;497.71;498.46
500.92;501.99;497.81;499.06
487.74;498.9;486.22;497
496.77;496.98;491.23;491.46
490.57;497.37;487.15;491.72
479.8;489.37;478.48;488.29
475.08;478.91;472.71;477.54
470.51;476.8;470.05;475.12
470.4;473.3;467.63;472.14
466.65;470.94;462;470.94
459.06;466.27;458.8;463.97
464.29;466.99;455.84;458.62
457.57;462.6;455.78;461.3
455.82;458.25;455;457.52
455.82;458.33;452.59;453.01
459.68;466.82;454.42;455.76
459.79;461.86;458;461.67
469.26;472.37;463.38;464.75
468.58;468.58;460.73;466.06
472.76;473;466.7;468
469.13;474.35;468.72;471.37
467.35;470.09;464.42;468.73
465.54;466.09;462.65;465.24
452;462.18;451.23;460.41
439.99;445;438.56;443.97
445.1;447.7;442.32;445.28
451.5;451.99;443.12;444.89
462.78;463.18;456.89;460
462.15;464.72;458.91;462.28
455.41;461.75;454.92;458.58
453.67;457.23;452.38;453.94
455.14;458.41;453.79;456.61
455.67;459.42;454.99;457.1
454.3;454.88;448.53;450.36
456;456.91;447.88;451.14
449.37;454;448.43;453.73
448.74;453.9;447.64;452.21
449.98;452.7;442.43;443.05
442.61;451.47;442.61;445.64
437.23;437.8;431.89;436.24
441;442.81;436.1;439.85
446.04;446.75;437.61;444.8
435.81;450.49;435;446.72
